code,name,wac,city,state,country,globalregion,latitude,longitude
INM,Innamincka Airport,802,Innamincka,South Australia,Australia,Australasia,-27.75,140.7333
INN,Innsbruck airport,403,Innsbruck,,Austria,Europe,47.2603,11.3439
INO,Inongo Airport,517,Inongo,,Democratic Republic of the Congo,Africa,-1.95,18.2792
INP,Central Railway Station,450,Naples,,Italy,Europe,40.8522,14.2731
INQ,"Inisheer,Aran Island",441,"Inisheer,Aran Island",,Ireland,Europe,53.0333,-9.4333
INR,Kincheloe Air Force Base,43,Sault Ste. Marie,Michigan,United States,North America,46.5,-84.35
INS,Af Aux,85,Indian Springs,Nevada,United States,North America,36.5872,-115.6733
INT,Smith-Reynolds,36,Winston Salem,North Carolina,United States,North America,36.1353,-80.2256
INU,Nauru Island Intl,845,Nauru,,Nauru,Australasia,-0.5333,166.9167
INV,Inverness Airport,493,Inverness,Scotland,United Kingdom,Europe,57.5425,-4.0483
INW,Lindbergh Regional,81,Winslow,Arizona,United States,North America,35.0242,-110.7249
INX,Inanwatan,732,Inanwatan,,Indonesia,Asia,-2.1333,132.1667
INY,Inyati Airport,562,Inyati,,South Africa,Africa,-24.7833,31.3833
INZ,In Salah,500,In Salah,,Algeria,Africa,27.25,2.5167
IOA,King Pyrros Airport,433,Ioannina,,Greece,Europe,39.6964,20.8225
IOB,Railway Station,403,Innsbruck,,Austria,Europe,47.2628,11.4011
IOK,Iokea,804,Iokea,,Papua New Guinea,Australasia,-8.4,146.2667
IOM,Ronaldsway,493,Isle Of Man,Isle of Man,United Kingdom,Europe,54.0825,-4.6278
ION,Impfondo,517,Impfondo,,Democratic Republic of the Congo,Africa,1.6133,18.0619
IOP,Ioma,804,Ioma,,Papua New Guinea,Australasia,-8.3667,147.85
IOQ,Heliport,975,Isotoq,,Greenland,North America,65.5467,-38.9778
IOR,Kilronan Airport,441,Inishmore,,Ireland,Europe,53.1167,-9.75
IOS,Jorge Amado,316,Ilheus,Bahia,Brazil,South America,-14.8139,-39.03
IOT,Heliport,975,Illorsuit,,Greenland,North America,71.2397,-53.5556
IOU,Ile Ouen Airport,846,Ile Ouen,,New Caledonia,Australasia,-22.4639,166.783
IOW,Iowa City Airport,61,Iowa City,Iowa,United States,North America,41.6667,-91.5333
IPA,Ipota,885,Ipota,,Vanuatu,Australasia,-18.75,169.1833
IPC,Mataveri Intl,324,Easter Island,,Chile,South America,-27.165,-109.4267
IPE,Ipil Airport,766,Ipil,,Philippines,Asia,7.7833,122.5833
IPG,Ipiranga Airport,316,Ipiranga,Amazonas,Brazil,South America,-3.2167,-65.95
IPH,Sultan Azlan Shah,749,Ipoh,,Malaysia,Asia,4.5669,101.0958
IPI,San Luis,327,Ipiales,,Colombia,South America,0.8664,-77.7117
IPL,Imperial County,91,El Centro/Imperial,California,United States,North America,32.8372,-115.5747
IPN,Usiminas,316,Ipatinga,Minas Gerais,Brazil,South America,-19.48,-42.5333
IPR,Porta Garibaldi Station,450,Milan,,Italy,Europe,45.4833,9.1878
IPT,Lycoming County,23,Williamsport,Pennsylvania,United States,North America,41.2422,-76.9206
IPU,Ipiau Airport,316,Ipiau,Bahia,Brazil,South America,-14.1333,-39.7333
IPW,Ipswich Railway Station,493,Ipswich,England,United Kingdom,Europe,52.0333,1.2
IQA,AIr Base,634,Al Asad,,Iraq,Middle East,33.7856,42.4411
IQM,Qiemo,713,Qiemo,,China,Asia,38.1333,85.5333
IQN,Qingyang Airport,713,Qingyang,,China,Asia,36.1,107.7833
IQQ,Diego Aracena,324,Iquique,,Chile,South America,-20.2317,-70.1408
IQT,F.Secada Vignetta,368,Iquitos,,Peru,South America,-3.75,-73.2
IRA,Kirakira,874,Kirakira,,Solomon Islands,Australasia,-10.5,161.8333
IRB,Iraan Municipal Airport,74,Iraan,Texas,United States,North America,30.7,-101.9333
IRC,Circle City,1,Circle,Alaska,United States,North America,65.8292,-144.0639
IRD,Ishurdi,703,Ishurdi,,Bangladesh,Asia,24.1333,89.0528
IRE,Irece,316,Irece,Bahia,Brazil,South America,-11.3,-41.8667
IRG,Lockhart River,802,Lockhart Rivers,Queensland,Australia,Australasia,-12.7883,143.3047
IRI,Iringa Airport,585,Iringa,,Tanzania,Africa,-7.6706,35.7503
IRJ,Captain V.A. Almonacid,303,La Rioja,La Rioja,Argentina,South America,-29.3833,-66.7833
IRK,Kirksville Municipal,64,Kirksville,Missouri,United States,North America,40.0925,-92.5439
IRM,Igrim Airport,475,Igrim,Urals Federal District,Russian Federation,Asia,63.2,64.45
IRN,Iriona Airport,131,Iriona,,Honduras,Central America,15.95,-85.1833
IRO,Birao Airport,509,Birao,,Central African Republic,Africa,10.1864,22.7139
IRP,Matari,517,Isiro,,Democratic Republic of the Congo,Africa,2.7819,27.6308
IRR,Ostiense Railway Station,450,Rome,,Italy,Europe,41.8722,12.4847
IRS,Kirsch Municipal,43,Sturgis,Michigan,United States,North America,41.8167,-85.4353
IRT,Tiburtina Railway Station,450,Rome,,Italy,Europe,41.9106,12.5306
IRU,Iranamadu SPB,711,Iranamadu,,Sri Lanka,Asia,9.3392,80.4506
IRZ,Tapuruquara,316,Santa Isabel Rio Negro,Amazonas,Brazil,South America,-0.4131,-65.0794
ISA,Mount Isa,802,Mount Isa,Queensland,Australia,Australasia,-20.6558,139.4792
ISB,Benazir Bhutto Intl,764,Islamabad,,Pakistan,Asia,33.6147,73.0967
ISC,St Mary's,493,Isles of Scilly,England,United Kingdom,Europe,49.9128,-6.2917
ISD,Iscuande Airport,327,Iscuande,,Colombia,South America,2.4667,-77.9833
ISE,Suleyman Demirel,679,Isparta,,Turkey,Europe,37.8667,30.3833
